7.9_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.265029
7.9_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.314918
7.6_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.384736
7.6_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.446432
7.2_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.520265
7.2_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.572108
Complete Duration,0:00:59.175967
7.9_raw.csv_filtered_by_correlation2.0_all_replacement_strategy_4.0,2022-12-02 11:27:32.889088
7.9_raw.csv_filtered_by_correlation2.0_individual_replacement_strategy_4.0,2022-12-02 11:27:32.942737
7.6_raw.csv_filtered_by_correlation2.0_all_replacement_strategy_4.0,2022-12-02 11:27:33.017706
7.6_raw.csv_filtered_by_correlation2.0_individual_replacement_strategy_4.0,2022-12-02 11:27:33.110165
7.2_raw.csv_filtered_by_correlation2.0_all_replacement_strategy_4.0,2022-12-02 11:27:33.193877
7.2_raw.csv_filtered_by_correlation2.0_individual_replacement_strategy_4.0,2022-12-02 11:27:33.258370
Complete Duration,0:00:00.553330
7.9_raw.csv_filtered_by_correlation2.0_SNR3.0_all_replacement_strategy_2,2022-12-02 11:34:31.955789
7.9_raw.csv_filtered_by_correlation2.0_SNR3.0_individual_replacement_strategy_2,2022-12-02 11:34:32.013980
7.6_raw.csv_filtered_by_correlation2.0_SNR3.0_all_replacement_strategy_2,2022-12-02 11:34:32.080154
7.6_raw.csv_filtered_by_correlation2.0_SNR3.0_individual_replacement_strategy_2,2022-12-02 11:34:32.140731
7.2_raw.csv_filtered_by_correlation2.0_SNR3.0_all_replacement_strategy_2,2022-12-02 11:34:32.206940
7.2_raw.csv_filtered_by_correlation2.0_SNR3.0_individual_replacement_strategy_2,2022-12-02 11:34:32.274142
Complete Duration,0:00:00.464964
7.9_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 12:24:51.877983
7.9_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 12:24:52.039615
7.6_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 12:24:52.204683
7.6_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 12:24:52.352012
7.2_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 12:24:52.520267
7.2_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 12:24:52.660606
Complete Duration,0:00:01.035262
7.9_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 13:00:11.189910
7.9_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 13:00:11.635144
7.6_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 13:00:12.111921
7.6_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 13:00:12.549761
7.2_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 13:00:13.015428
7.2_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 13:00:13.455302
Complete Duration,0:00:02.904440
7.9_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 13:09:36.173351
7.9_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 13:09:36.599023
7.6_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 13:09:37.065197
7.6_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 13:09:37.519685
7.2_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 13:09:37.989829
7.2_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 13:09:38.429927
Complete Duration,0:00:02.790704
7.9_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 13:16:05.399647
7.9_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 13:16:05.866854
7.6_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 13:16:06.337962
7.6_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 13:16:06.769734
7.2_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 13:16:07.249487
7.2_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 13:16:07.679470
Complete Duration,0:00:02.789496
7.9_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 13:18:34.389173
7.9_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 13:18:34.906577
7.6_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 13:18:35.359230
7.6_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 13:18:35.809418
7.2_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_4,2022-12-02 13:18:36.260967
7.2_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_4,2022-12-02 13:18:36.719963
Complete Duration,0:00:02.868453
